Title,Ingredients,Instructions,Category,Duration,ingredient_tags
Greek cucumber salad,"1 cucumber
1 teaspoon salt
3 tablespoons finely chopped
fresh mint
1 garlic clove, crushed
1 teaspoon caster sugar
200ml/7fl oz Greek-style yogurt","• Peel the cucumber and cut in half
lengthways. Remove the seeds with
a teaspoon and discard. Slice the
cucumber thinly. Put in a bowl, and
sprinkle with the salt. Toss through,
and leave for at least 15 minutes.
• Combine the mint, garlic, sugar
and yogurt in another bowl.
• Rinse the cucumber in a sieve
under cold running water to flush
away the salt.
• Drain well and combine with the
yogurt mixture. Chill for 15 minutes
and serve",Salad,30,"cucumbers, salt, mint, garlic, sugar, greek yogurt"
Salad niçoise,"3 eggs
2 vine-ripened tomatoes
175g/6oz baby green beans,
trimmed
125ml/4fl oz olive oil
2 tablespoons white wine vinegar
1 garlic clove, halved
350g/12oz iceberg lettuce heart,
cut into 8 wedges
1 red pepper, seeded and
thinly sliced
1 cucumber, cut into 5cm/2in
lengths
1 celery stick, cut into 5cm/2in
lengths 1⁄4 large red onion, thinly sliced
350g/12oz canned tuna, drained
12 pitted black olives
2 x 175g/6oz cans anchovy fillets
in oil, drained
2 teaspoons baby capers, drained
12 small fresh basil leaves","• Put the eggs in a saucepan of cold water. Bring to the boil, then reduce
the heat and simmer for 10 minutes. Stir during the first few minutes to
centre the yolks. Cool under cold water, then peel and cut into quarters.
Meanwhile, score a cross in the base of each tomato, and put in a bowl
of boiling water for 10 seconds. Plunge into cold water and peel away
from the cross. Cut each tomato into eight sections.
• Cook the beans in a saucepan of boiling water for 2 minutes, rinse
under cold water, then drain.
• For the dressing, put the oil and vinegar in a screwtop glass jar, seal
tightly and shake to combine.
• Rub the garlic over the bottom and sides of a platter. Arrange the lettuce
over the bottom. Layer the egg, tomato, beans, red pepper, cucumber
and celery over the lettuce. Scatter the onion and tuna over them, then
the olives, anchovies, capers and basil. Drizzle the salad with the
dressing, and serve.",Salad,10,"eggs, tomatoes, beans, olive oil, white wine vinegar, garlic, "
Thai noodle salad,"250g/9oz thin instant noodles
450g/1lb cooked large prawns,
peeled, deveined and halved
lengthways
5 spring onions, sliced
2 tablespoons chopped fresh
coriander leaves
1 red pepper, chopped
100g/4oz mangetout, sliced
For the dressing
2 tablespoons grated fresh
root ginger
2 tablespoons light soy sauce
2 tablespoons sesame oil
75ml/3fl oz red wine vinegar
1 tablespoon sweet chilli sauce
2 garlic cloves (crushed)
75ml/3fl oz kecap manis","• To make the dressing, put the ingredients in a large bowl, and whisk
together with a fork.
• Cook the noodles in a large pan of boiling water for 2 minutes, then
drain well. Add to the dressing and mix well. Leave to cool.
• Add the prawns and remaining ingredients to the noodles, and toss
through gently. Serve at room temperature.",Salad,15,"instant noodles, prawns, onions, coriander, red peppers, mangetout, ginger, soy sauce, sesame oil, red wine vinegar, sweet chilli sauce, garlic"
Couscous & haddock salad,"175g/6oz couscous
100g/4oz cooked, flaked
smoked haddock
50g/2oz cooked green peas
pinch of curry powder
2 spring onions, sliced
1 small egg, hard-boiled and
chopped
2 tablespoons olive oil
2 tablespoons freshly squeezed
lemon juice
salt and freshly ground
black pepper","• Cook the couscous according to
the packet instructions.
• Mix the couscous with the
haddock, peas, curry powder,
spring onions and chopped egg.
• Toss with the olive oil and lemon
juice, and season with plenty of
salt and pepper. Serve.",Salad,25,"couscous, smoked haddock, peas, curry powder, onions, eggs, olive oil, lemon juice, salt, black pepper"
Thai beef salad,"vegetable oil for frying
450g/1lb lean rump steak
3 tablespoons freshly squeezed
lime juice
3 tablespoons Thai fish sauce
1 tablespoon granulated sugar
4 shallots, thinly sliced
2 garlic cloves, crushed
2 fresh red chillies, seeded and
finely sliced
6–8 lettuce leaves
1 tablespoon chopped fresh
coriander leaves
1 tablespoon chopped fresh
chives 1/2 cucumber, peeled and cut into
slices 5mm/1/4in thick
2 tomatoes, cut into eighths","• Preheat the oven to 240°C/
450°F/Gas mark 8.
• Heat a little oil in a flameproof dish
until it is very hot. Add the meat
and brown it quickly over a fierce
heat. Transfer to the oven, and
roast for 10–15 minutes.
• Leave to rest for at least 5 minutes,
then slice thinly.
• Mix together the lime juice, fish
sauce and sugar, stirring until the
sugar has dissolved. Add the
shallots, garlic and chillies.
• Make a bed of lettuce on a serving
dish, and pile the beef in the
centre. Spoon the dressing over
and scatter with coriander and
chives. Arrange the cucumber and
tomato wedges around the edge of
the salad, and serve.",Salad,20,"vegetable oil, steak, lime juice, sugar, shallots, garlic, red chillies, lettuce, coriander, chives, cucumbers, tomatoes"
Curly endive salad,"1/2 curly endive
1/2 small onion, very thinly sliced
grated zest and juice of 1/2 lemon
1 teaspoon clear honey
2 teaspoons walnut oil
salt and freshly ground
black pepper","• Tear the curly endive into neat
pieces, and put in a large salad
bowl. Scatter the onion over.
• Whisk together the lemon zest,
juice, honey, oil and 2 teaspoons
water. Season with salt and
pepper, and whisk again.
• Drizzle the dressing over the
endive, and serve.",Salad,10,"curly endive, onions, lemon juice, honey, walnut oil, salt, black pepper"
Smoked mackerel salad,"450g/1lb new potatoes, halved
lengthways
4 tablespoons extra virgin olive oil
3 smoked mackerel fillets, skinned
and broken into strips
250g/9oz cherry tomatoes, halved
1/2 cucumber, seeded and diced
75g/3oz watercress
2 teaspoons horseradish sauce
2 tablespoons white wine vinegar
salt and freshly ground
black pepper","• Put the potatoes in a pan of cold water, cover and bring to the boil. Cook
for 10 minutes or until tender. Drain well, tip back into the pan and add
1 tablespoon of the oil. Season well with salt and pepper. Cover the pan
and shake well to mix. Spoon the potatoes into a large bowl.
• Add the mackerel, tomatoes and cucumber, and top with the watercress
and a pinch of salt and pepper.
• Mix together the horseradish, remaining oil and the vinegar in a bowl, and
season well with salt and pepper.
• Pour the dressing over the salad. Toss gently, and serve",Salad,15,"potatoes, olive oil, mackerel, cherry tomatoes, cucumbers, watercress, horseradish sauce, white wine vinegar, salt, black pepper"
Chinese prawn salad,"175g/6oz beansprouts
1 small red pepper, chopped
100g/4oz peeled and deveined
cooked prawns
2 teaspoons light soy sauce
2 teaspoons white wine vinegar
1/2 teaspoon granulated sugar
2 tablespoons sesame oil
salt and freshly ground
black pepper
6 large lettuce leaves
1 spring onion, chopped","• Put the beansprouts in a bowl with
the pepper and prawns.
• Mix together the remaining
ingredients except the lettuce and
spring onion, and pour over the
prawn mixture. Toss well.
• Put a lettuce leaf in the bottom of
each of six individual bowls.
Spoon some prawn mixture on to
each lettuce leaf, and scatter the
spring onion over the top. Serve.",Salad,20,"beansprouts, red peppers, prawns, soy sauce, white wine vinegar, sugar, sesame oil, salt, black pepper, lettuce leaves, onions"
Tomato & spring onion salad,"8 ripe tomatoes
3 spring onions, finely sliced
1 tablespoon olive oil
1 tablespoon white wine vinegar
1/2 teaspoon granulated sugar
salt and freshly ground
black pepper","• Put the tomatoes in a bowl of justboiled water for 30 seconds.
Remove with a slotted spoon, then
peel off and discard the skin. Cut
the flesh into wedges.
• Put the tomatoes in a dish, and
sprinkle with the spring onions.
• Whisk together the remaining
ingredients and drizzle over the
top. Leave to stand for 30 minutes
before serving.",Salad,10,"tomatoes, onions, olive oil, white wine vinegar, sugar, salt, black pepper"
Pear & grape salad,"2 teaspoons skimmed milk
225g/8oz low-fat cottage
cheese, whipped
1 teaspoon granulated sugar
2 large pears, halved, peeled
and cored
8 iceberg lettuce leaves
20 seedless white grapes, halved","• Mix the milk with the cottage
cheese and sugar, and blend until
of a spreading consistency.
• Put the pear halves on the lettuce
leaves, cut side down, and frost
generously with the cottage cheese.
• Press the grapes, cut side down,
into the cottage cheese.
• Chill the salad for at least
20 minutes before serving.",Salad,10,"milk, cheese, sugar, pears, lettuce, white grapes, "
Baked seafood salad,"1 small green pepper, seeded
and chopped
1 small onion, chopped
225g/8oz celery, chopped
450g/1lb cooked crabmeat
450g/1lb small cooked scallops
225g/8oz low-fat sour cream
1 teaspoon salt
1 teaspoon Worcestershire sauce
225g/8oz coarse breadcrumbs
25g/1oz margarine","• Preheat the oven to 180°C/
350°F/Gas mark 4.
• Mix all the ingredients except the
breadcrumbs and margarine in a
casserole dish. Sprinkle the
breadcrumbs over the top, and dot
with the margarine. Bake for
30 minutes, and serve warm.",Salad,30,"green peppers, onions, celery, crabs, scallops, sour cream, salt, margarine"
Brown rice & chicken salad,"450g/1lb brown rice
450g/1lb lean skinless cooked
chicken, diced
12 spring onions, sliced
2 celery sticks, chopped
2 green peppers, seeded and
chopped
100g/4oz black olives, pitted
and halved
50g/2oz pimiento, minced
100g/4oz cherry tomatoes,
halved
100g/4oz fresh flat-leaf parsley,
chopped
100g/4oz radishes, sliced
50ml/2fl oz olive oil
50ml/2fl oz white wine vinegar","• In a covered saucepan, cook the
rice in 450ml water over a
medium heat for about 25 minutes
or until the liquid is absorbed and
the rice is fluffy. Remove from the
heat and leave to cool.
• Add all the remaining ingredients
and toss well. Serve.",Salad,40,"brown rice, chicken, onions, celery sticks, green peppers, black olives, pimiento, cherry tomatoes, parsley, radishes, olive oil, white wine vinegar"
Nutty rice salad,"175g/6oz long-grain rice
50g/2oz frozen peas
50g/2oz raisins
50g/2oz toasted flaked almonds
2 tablespoons sunflower oil
1 tablespoon white wine vinegar
salt and freshly ground
black pepper","• In a covered saucepan, cook the
rice in 175ml/6fl oz water over a
medium-high heat for about
20 minutes. Add the peas and
cook for a further 5 minutes. Drain,
rinse with cold water, and drain
again. Empty into a salad bowl.
• Add the raisins, almonds, oil and
vinegar. Season with salt and
pepper. Toss well and serve.",Salad,30,"rice, peas, raisins, almonds, sunflower oil, white wine vinegar, salt, black pepper"
Rocket salad,"1 slice white bread, cubed
1 garlic clove, quartered
1 tablespoon low-fat spread
100g/4oz rocket leaves
1 sprig of fresh coriander, leaves
picked
1 sprig of fresh flat leaf parsley,
leaves picked
1 red onion, sliced
1 tablespoon tarragon vinegar
salt and freshly ground
black pepper","• Put the bread, garlic and low-fat
spread in a small heavy frying pan
over a gentle heat, and toss until
golden. Remove from the heat,
discard the garlic and drain the
croûtons on kitchen paper.
• Put the rocket, coriander and
parsley in a small salad bowl.
Scatter the onion and croûtons over
the top of the greens. Sprinkle with
the vinegar, and season well with
salt and pepper. Serve.",Salad,10,"bread, garlic, spread, rocket leaves, coriander, parsley, onions, vinegar, salt, black pepper"
Beetroot & orange salad,"1 Little Gem lettuce, leaves
separated
2 oranges
2 large cooked beetroot, diced
1 tablespoon orange juice
1 teaspoon balsamic vinegar
salt and freshly ground
black pepper","• Divide the lettuce leaves evenly
among four small serving plates.
• Holding the oranges over a bowl,
remove all the pith and zest. Cut
the flesh into segments. Squeeze
any juice from the membranes into
the bowl, then discard them.
• Pile the beetroot in the centre of the
lettuce leaves with the orange
segments surrounding them.
• Add the orange juice to the bowl
with the vinegar. Season with salt
and pepper. Spoon the dressing
over the beetroot, and serve.",Salad,15,"lettuce, oranges, beetroot, orange juice, balsamic vinegar, salt, black pepper, creme fraiche"
Hot potato & bean salad,"450g/1lb potatoes, scrubbed
and diced
100g/4oz French beans,
topped and tailed, cut into
short lengths
75ml/3fl oz low-fat crème
fraîche
2 teaspoons chopped fresh mint
salt and freshly ground
black pepper","• Cook the potatoes in lightly salted
boiling water for 5 minutes.
• Add the beans to the potatoes, and
cook for a further 5–10 minutes
until the potatoes are tender. Drain
and return to the pan.
• Add the crème fraîche and mint,
and season with salt and pepper.
Toss gently, and serve warm.",Salad,25,"potatoes, beans, mint, salt, black pepper"
"Fresh salad with
raspberry vinaigrette","1 bunch watercress, torn
2 heads Bibb lettuce, torn into
bite-size pieces
450g/1lb mushrooms, sliced
425g/15oz canned artichoke
hearts, drained
1 bunch white radishes, sliced
225g/8oz fresh raspberries
For the vinaigrette
125ml/4fl oz raspberry vinegar
1/2 teaspoon salt
225g/8oz olive oil
1/2 teaspoon Dijon mustard
1/2 teaspoon freshly ground
black pepper","• Put the watercress, lettuce,
mushrooms, artichoke hearts and
radishes in a large bowl.
• Shake the vinaigrette ingredients
together in a screwtop glass jar,
and drizzle over the salad. Toss
well. Serve with the raspberries
scattered over the top.",Salad,15,"watercress, lettuce, mushrooms, artichokes, white radishes, raspberries, raspberry vinegar, salt, olive oil, mustard, black pepper"
Beetroot & chive salad,"4 cooked beetroot, chopped
2 tablespoons low-fat creme
fraiche
1 tablespoon snipped fresh
chives
salt and freshly ground
black pepper","• Put the beetroot in a bowl. Add the
crème fraîche, and season with salt
and pepper.
• Sprinkle over the chives, toss and
serve immediately.",Salad,15,"beetroot, creme fraiche, chives, salt, black pepper"
Mustard carrot salad,"450g/1lb carrots, coarsely
grated
25g/1oz low-fat spread
1 tablespoon mustard seeds
1 tablespoon freshly squeezed
lemon juice
salt and freshly ground
black pepper","• Put the carrots in a salad bowl,
and season with salt and pepper.
• Melt the low-fat spread in a frying
pan over a medium heat, and add
the mustard seeds.
• When they start to pop, add the
lemon juice, stir and pour over the
salad. Toss well and serve straight
away, while still warm.",Salad,15,"carrots, spread, mustard seeds, lemon juice, salt, black pepper "
Banana & pecan salad,"50g/2oz finely chopped lean
back bacon
50g/2oz pecan nuts, chopped
200g/7oz banana, sliced
300g/11oz celery, sliced
1/2 lime, thinly sliced
250g/9oz low-fat Greek-style
yogurt
6 lettuce leaves","• Grill the bacon until crisp, then cut
into small pieces.
• Mix together the bacon, pecan
nuts, banana, celery, lime and
yogurt in a bowl.
• Put a lettuce leaf on the bottom of
each of six individual bowls, and
divide the mixture between each
bowl. Serve.",Salad,10,"bacon, pecan nuts, bananas, celery, limes, greek yogurt, lettuce "
Turnip salad,"350g/12oz turnips
2 spring onions, white part only,
chopped
1 tablespoon caster sugar
pinch of salt
2 tablespoons horseradish cream
2 teaspoons caraway seeds","• Peel, slice and shred the turnips.
Add the spring onions, sugar and
salt, then rub together with your
hands to soften the turnip.
• Fold in the horseradish cream and
caraway seeds, and serve.",Salad,15,"turnips, onions, sugar, salt, horseradish cream, caraway seeds"
Grilled stuffed sole,"1 tablespoon olive oil
25g/1oz butter
1 small onion, finely chopped
1 garlic clove, chopped
3 sun-dried tomatoes, chopped
2 tablespoons fresh lemon
thyme leaves
50g/2oz fresh breadcrumbs
1 tablespoon freshly squeezed
lemon juice
4 small whole sole, gutted and
cleaned
lemon wedges, to garnish
salt and freshly ground black pepper","• Preheat the grill. Heat the oil and butter in a frying pan until it just
begins to foam. Add the onion and garlic to the frying pan, and cook,
stirring, for 5 minutes, or until just softened.
• To make the stuffing, mix together the tomatoes, thyme, breadcrumbs and
lemon juice in a bowl, then season with salt and pepper.
• Add the stuffing mixture to the pan, and stir to mix.
• Using a sharp knife, pare the skin from the bone inside the gut hole of
the fish to make a pocket. Spoon the stuffing into the pocket.
• Cook the fish, under the grill, for 6 minutes on either side, or until
golden brown. Transfer to serving plates, garnish with lemon wedges
and serve immediately",Seafood,30,"olive oil, butter, onion, garlic, sun-dried tomatoes, lemon, thyme leaves, breadcrumbs, lemon juice, sole, lemon wedges, salt, black pepper"
Spicy coconut prawns,"3 fresh red chillies, seeded
and chopped
2 shallots, chopped
1 lemon grass stalk, chopped
3 garlic cloves, chopped
1 teaspoon ground turmeric
1 teaspoon ground coriander
1 tablespoon groundnut oil
2 kaffir lime leaves
1 teaspoon soft brown sugar
2 tomatoes, peeled and chopped
250ml/9fl oz coconut milk
700g/1.5lb large raw prawns,
peeled and deveined
squeeze of lemon juice
salt","• Using a mortar and pestle, pound together the chillies, shallots, lemon
grass, garlic, turmeric and coriander until the mixture forms a paste.
• Heat a wok until hot, add the oil and swirl it around. Add the spice
paste and stir-fry for 2 minutes. Pour in 250ml/9fl oz water and add the
lime leaves, sugar and tomatoes. Simmer for 8–10 minutes until most of
the liquid has evaporated.
• Add the coconut milk and prawns, and cook gently, stirring, for
4 minutes until the prawns are pink. Season with lemon juice and salt to
taste. Serve immediately.",Seafood,20,"red chillies, shallots, lemon grass, garlic, ground turmeric, ground coriander, groundnut oil, kaffir lime leaves, soft brown sugar, tomatoes, coconut milk, prawns, lemon juice, salt"
Seafood lasagne,"50g/2oz butter
50g/2oz plain flour
1 teaspoon mustard powder
600ml/1pt milk
2 tablespoons olive oil, plus extra
for oiling
1 onion, chopped
2 garlic cloves, finely chopped
1 tablespoon fresh thyme leaves
450g/1lb mixed mushrooms, sliced
150ml/5fl oz white wine
400g/14oz canned chopped
plum tomatoes
450g/1lb mixed skinless white fish
fillets, cubed
225g/8oz scallops, trimmed
4–6 sheets fresh lasagne
225g/8oz mozzarella cheese,
chopped
salt and freshly ground
black pepper","• Preheat the oven to 200°C/400°F/Gas mark 6.
• Melt the butter in a saucepan over a low heat. Add the flour and
mustard powder, and stir until smooth. Cook gently for 2 minutes
without colouring.
• Gradually add the milk, whisking until smooth. Bring to the boil and
simmer for 2 minutes. Remove from the heat and reserve. Cover the
surface of the sauce with cling film to prevent a skin forming.
• Heat the oil in a large frying pan over a low heat. Add the onion, garlic
and thyme, and sweat for 5 minutes until softened. Add the mushrooms
and cook for a further 5 minutes until softened. Stir in the wine, and boil
rapidly until nearly evaporated. Stir in the tomatoes. Bring to the boil,
reduce the heat slightly and simmer, covered, for 15 minutes. Season
with salt and pepper.
• Lightly oil a lasagne dish. Spoon half of the tomato sauce over the
bottom of the dish, and top with half of the fish and scallops. Layer half
of the lasagne over this, and cover with half of the white sauce. Dot with
half of the mozzarella. Repeat the layers, finishing with the mozzarella.
• Bake in the oven for 30–40 minutes until bubbling, golden and cooked
through. Remove from the oven and leave to stand for 10 minutes before
serving hot.",Seafood,50,"butter, plain flour, mustard powder, milk, olive oil, onion, garlic, thyme leaves, mushrooms, white wine, plum tomatoes, white fish fillets, scallops, lasagne, mozzarella cheese, salt, black pepper"
Basque tuna stew,"2 tablespoons olive oil
1 onion, chopped
2 garlic cloves, chopped
200g/7oz canned chopped
plum tomatoes
700g/11/2lb potatoes, cut into
5cm/2in chunks
3 green peppers, seeded and
roughly chopped
900g/2lb fresh tuna, cut into chunks
salt and freshly ground black pepper","• Heat the olive oil in a saucepan over a low heat. Add the onion and
cook for 8–10 minutes until soft and golden. Add the garlic and cook for
a further 1 minute. Add the tomatoes, cover and simmer for about
30 minutes until thickened.
• Meanwhile, mix together the potatoes and peppers in a large clean
saucepan. Add 300ml/10fl oz water, which should just cover the
vegetables. Bring to the boil over a medium heat, and simmer for
15 minutes until the vegetables are almost tender.
• Add the tuna chunks and the tomato mixture to the potatoes and
peppers, and season with salt and pepper. Cover and simmer for
6–8 minutes until the tuna is tender. Transfer to four warmed large
individual bowls, and serve immediately.",Seafood,40,"olive oil, onion, garlic, plum tomatoes, potatoes, green peppers, tuna, salt, black pepper"
"Californian prawn
& scallop stir-fry","3 tablespoons vegetable oil
4 tablespoons pine nuts
450g/1lb raw prawns
450g/1lb scallops, quartered
if large
2 teaspoon grated fresh root ginger
1 fresh green chilli, deseeded and
finely chopped
2 garlic cloves, finely chopped
1 red pepper, seeded and chopped
225g/8oz spinach, stalks removed
4 onions, sliced
4 tablespoons fish stock
4 tablespoons light soy sauce
4 tablespoons rice wine
1 tablespoon cornflour","• Heat the oil in a wok and add the pine nuts. Cook over a low heat,
stirring continuously, until lightly browned. Remove with a slotted spoon
and drain on kitchen paper. Set aside.
• Add the prawns and scallops to the oil remaining in the wok and stir
over a moderate heat until the scallops are beginning to look opaque
and firm, and the prawns are pink.
• Add the ginger, chilli, garlic and pepper, and cook for a few minutes
over a medium-high heat. Add the spinach and onion, and stir-fry briefly.
Mix the remaining ingredients together in a bowl, and pour over the
ingredients in the wok.
• Increase the heat to bring the liquid quickly to a boil, stirring the
ingredients continuously. Once the liquid thickens, stir in the reserved
pine nuts, and serve immediately. ",Seafood,25,"vegetable oil, pine nuts, prawns, scallops, ginger, green chilli, garlic, red pepper, spinach, onions, fish stock, light soy sauce, rice wine, cornflour"
Mild prawn curry,"75g/3oz desiccated coconut
300ml/10fl oz boiling milk
1 onion, finely chopped
3 tablespoons sunflower oil
2.5cm/1in piece of of fresh root
ginger, chopped
2 tablespoons Thai fish sauce
350g/12oz basmati rice
1kg/21/4lb raw tiger prawns,
peeled and deveined
For the masala
1/2 tablespoon cumin seeds
1/2 tablespoon coriander seeds
seeds from 6 green
cardamom pods 1⁄2 teaspoon black peppercorns
1 teaspoon dried red chilli flakes
1/2 teaspoon ground turmeric","• Make the masala by toasting the cumin, coriander and cardamom
seeds, peppercorns, chilli flakes and turmeric in a dry frying pan over a
low heat for 2–3 minutes until aromatic. Grind to a powder using a
mortar and pestle.
• Put the coconut in a bowl, and pour the milk over it. Leave to steep for
20 minutes.
• Sweat the onion in the oil until translucent. Add the masala, stir through
and fry gently for 2–3 minutes. Add the ginger, and strain the coconut
milk into the mixture through a sieve. Simmer for 10–15 minutes, then
add the fish sauce.
• Cook the rice in rapidly boiling water for 8–10 minutes, but do
not overcook. Drain.
• Add the prawns to the sauce, and cook for 5–6 minutes until the prawns
turn pink. Serve hot with the basmati rice. ",Seafood,30,"coconut, milk, onion, sunflower oil, ginger, Thai fish sauce, basmati rice, tiger prawns, cumin seeds, coriander seeds, cardamom pods, black peppercorns, red chilli flakes, ground turmeric"
Squid sambal,"3 tablespoons groundnut oil
1 tablespoon tamarind pulp, soaked
in 150ml/5fl oz water for
10 minutes
1.5 teaspoons paprika
1 teaspoon granulated sugar
1/2 teaspoon salt
450g/1lb small squid with tentacles,
cleaned
For the spice paste
2 large onions, chopped
2 garlic cloves, chopped
1 teaspoon dried shrimp paste
1.5 tablespoons sambal oelek
1 tablespoon chopped fresh
lemon grass","• Put the ingredients for the spice paste in a blender or food processor,
and blend to produce a thick paste.
• Heat the oil in a large saucepan, add the paste and fry over a medium
heat for 8 minutes, stirring constantly, until the paste is cooked and
lightly golden.
• Strain the tamarind pulp through a sieve, discard the pulp and add the
strained tamarind liquid to the pan with the paprika, sugar and salt.
Cook the sambal sauce over a very heat, stirring occasionally, for about
10 minutes.
• Cut the squid tubes into 2.5cm/1in thick rings, and add them and the
tentacles to the pan.
• Increase the heat and cook the squid sambal, stirring constantly, for 5–6
minutes or until the squid is cooked and the sauce is thick. Serve hot.",Seafood,25,"groundnut oil, tamarind pulp, paprika, granulated sugar, salt, squid, onions, garlic, shrimp paste, sambal oelek, lemon grass"
Fish fillets in wine sauce,"vegetable oil for deep-frying
900g/2lb sole fillets, cut into
5 x 2.5cm/2 x 1cm pieces
2 egg whites, lightly beaten
3 tablespoons cornflour
For the sauce
3 tablespoons vegetable oil
2 teaspoons caster sugar
125ml/4fl oz dry white wine
50ml/2fl oz rice wine
1 teaspoon salt
2 tablespoons cornflour
175ml/6fl oz fish stock","• In a small deep heavy skillet or frying pan, heat the oil for deep-frying
over a medium heat. When the oil is hot, dip each piece of fish in the
egg whites, then dredge through the cornflour to coat thoroughly.
• Deep-fry each piece of sole quickly to crisp the outside, about 1 minute
each. Remove from the oil with a slotted spoon and drain on kitchen
paper. Continue until all the sole is fried.
• For the sauce, heat the oil in a wok over a medium heat. Add the sugar,
white wine, rice wine and salt, stirring all the time.
• Blend the cornflour and stock together, add to the wok and stir until the
sauce thickens. Carefully put the sole pieces in the wok, and turn them a
few times to coat. Serve hot.",Seafood,30,"vegetable oil, sole fillets, egg whites, cornflour, caster sugar, dry white wine, rice wine, salt, fish stock"
Fish loaf,"50g/2oz butter, melted, plus extra
for greasing
900g/2lb cod fillets, minced
1 small onion, chopped
2 tablespoons fresh white
breadcrumbs
1 teaspoon salt
2 eggs
2 tablespoons sour cream
For the sauce
1 small onion, finely chopped
25g/1oz butter
1 tablespoon flour
300ml/10fl oz milk
1 teaspoon lemon juice
225g/8oz mushrooms, thinly sliced
1 tablespoon sour cream
salt and freshly ground
black pepper","• Preheat the oven to 180°C/350°F/Gas mark 4. Grease a 1.2 litre/2pt
loaf tin with butter.
• Mix the cod, onion, breadcrumbs, salt, eggs, sour cream and melted
butter together in a large bowl. Scrape into the prepared loaf tin, and
press down firmly. Bake in the oven for 45 minutes.
• To make the sauce, sweat the onion in the butter until transparent. Add
the flour and cook for 1 minute. Add the milk, lemon juice and
mushrooms. Season with salt and pepper. Cook until the sauce thickens.
• Add the sour cream to the sauce just before serving. Serve the fish loaf
hot with the accompanying sauce.",Seafood,45,"butter, cod fillets, onion, breadcrumbs, salt, egg, sour cream, flour, milk, lemon juice, mushrooms, black pepper"
Pan-seared halibut,"1 teaspoon olive oil
4 skinless halibut steaks, about
175g/6oz each 1⁄2 teaspoon cornflour, mixed
with 2 teaspoons cold water to
form a paste
salt and freshly ground black pepper
For the relish
2 red onions, grated
6 shallots, grated
1 tablespoon freshly squeezed
lemon juice
2 teaspoons olive oil
2 tablespoons red wine vinegar
2 teaspoons caster sugar
150ml/5fl oz fish stock","• To make the relish, put the onions and shallots in a small bowl, and toss
in the lemon juice.
• Heat the oil for the relish in a frying pan over a medium heat. Tip in the
onions and shallots, and sauté for 3–4 minutes until just softened. Add
the vinegar and sugar, and continue to cook for a further 2 minutes over
a high heat. Pour in the stock, and season well with salt and pepper.
Bring to the boil and simmer gently for 10 minutes until the sauce has
thickened and slightly reduced.
• Brush a frying pan with the oil, and heat over a medium-high heat until
hot. Press the fish into the pan to seal, reduce the heat and cook for
4 minutes. Turn the fish over and cook for 5 minutes until cooked
through. Drain on kitchen paper and keep warm.
• Stir the cornflour paste into the relish and heat through, stirring, until it
has thickened. Check and adjust the seasoning if necessary. Pile the
relish onto serving plates and top with the halibut. ",Seafood,20,"olive oil, halibut steak, cornflour, salt, red onions, shallots, lemon juice, red wine vinegar, caster sugar, fish stock"
Salmon with lemon mash,"4 salmon steaks, about
150g/5oz each
225g/8oz spinach leaves
For the lemon mash
450g/1lb potatoes, cubed
25g/1oz butter
2 tablespoons milk
finely grated zest of 1⁄2 lemon
For the sauce
25g/1oz butter
25g/1oz plain flour
200ml/7fl oz skimmed milk
finely grated zest of 1/2 lemon
4 tablespoons chopped fresh herbs
1 red pepper, finely chopped
1 egg, lightly beaten
salt and freshly ground black pepper","• Cook the potatoes in boiling water for 15–20 minutes until tender.
• Meanwhile, make the sauce. Melt the butter in a saucepan, add the flour
and cook, stirring, for 1 minute. Remove from the heat and gradually stir
in the milk.
• Return to the heat and bring to the boil, stirring, until thickened and
smooth. Add the lemon zest, herbs, red pepper and egg. Season with
salt and pepper. Stir well.
• Heat a non-stick frying pan, and cook the salmon for 3–5 minutes on
each side until golden brown. Transfer to a flameproof dish.
• Spoon the sauce over the fish, and put under a hot grill until the sauce is
set and the salmon is just cooked through.
• Meanwhile, lightly steam the spinach for 8 minutes in a steamer set over
a pan of boiling water.
• Drain and mash the potatoes, then stir in the butter, milk and lemon zest.
Serve with the fish and spinach.",Seafood,25,"salmon steaks, spinach, potatoes, butter, milk, lemon zest, plain flour, skimmed milk, fresh herbs, red pepper, egg, salt, black pepper"
